                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0393,                  1.265,                 1.2244,                0.77892,                0.69164,                0.78512,                0.55458,                  1.089,                 1.3345,                 1.3601,             0.00047485,             0.00047485,             0.00047485
                      2,                 1.1686,                 1.2086,                  1.321,                0.80278,                0.71781,                0.79936,                0.55316,                 1.1252,                 1.2909,                 1.3521,             0.00091352,             0.00091352,             0.00091352
                      3,                 1.1604,                 1.1486,                 1.3092,                0.81635,                0.74459,                0.83993,                0.57327,                 1.0867,                  1.128,                 1.3341,              0.0013145,              0.0013145,              0.0013145
                      4,                 1.1198,                 1.0889,                 1.2997,                0.83551,                0.78139,                 0.8759,                0.64451,                0.98618,                0.92908,                 1.2531,              0.0012592,              0.0012592,              0.0012592
                      5,                 1.0711,                 1.0182,                 1.2622,                0.84026,                0.83198,                 0.8945,                0.66647,                0.94256,                0.81933,                 1.2207,              0.0012592,              0.0012592,              0.0012592
                      6,                 1.0312,                0.94965,                 1.2392,                0.84654,                0.84844,                0.91255,                0.69387,                0.89504,                0.73208,                 1.1749,              0.0012026,              0.0012026,              0.0012026
                      7,                 1.0112,                0.91908,                 1.2234,                0.88238,                0.88817,                0.91968,                 0.6982,                0.87617,                0.70897,                 1.1691,              0.0011461,              0.0011461,              0.0011461
                      8,                0.95167,                0.84387,                 1.1924,                0.85934,                0.85623,                0.90639,                0.69613,                0.84123,                0.75447,                 1.1416,              0.0010895,              0.0010895,              0.0010895
                      9,                 0.9489,                0.83845,                 1.1879,                0.88898,                0.87872,                 0.9354,                0.73057,                 0.8136,                0.63809,                 1.1262,              0.0010329,              0.0010329,              0.0010329
                     10,                0.90994,                0.77585,                 1.1683,                0.87338,                0.87662,                0.93188,                0.74385,                0.77943,                 0.6338,                 1.1141,             0.00097629,             0.00097629,             0.00097629
                     11,                0.88488,                0.75118,                  1.154,                0.89137,                0.89805,                0.94264,                 0.7497,                0.78436,                0.60421,                 1.1117,              0.0009197,              0.0009197,              0.0009197
                     12,                0.87147,                0.74026,                 1.1482,                0.88955,                0.89702,                0.93839,                 0.7485,                0.75582,                0.57387,                 1.0894,             0.00086312,             0.00086312,             0.00086312
                     13,                0.85594,                0.71804,                 1.1358,                0.88889,                0.91881,                 0.9518,                0.76796,                0.74737,                0.55688,                 1.0819,             0.00080653,             0.00080653,             0.00080653
                     14,                0.85044,                 0.6968,                 1.1394,                0.90011,                 0.9098,                 0.9504,                0.77749,                0.72763,                0.53362,                 1.0711,             0.00074994,             0.00074994,             0.00074994
                     15,                0.82961,                0.66951,                 1.1252,                 0.9069,                0.91812,                0.95408,                 0.7763,                0.72441,                0.52972,                 1.0798,             0.00069335,             0.00069335,             0.00069335
                     16,                0.75038,                 0.5633,                 1.0662,                 0.8967,                0.92892,                0.95411,                0.77998,                0.73099,                0.51559,                 1.0735,             0.00063676,             0.00063676,             0.00063676
                     17,                 0.7378,                0.53464,                 1.0549,                0.91249,                0.92969,                0.96036,                0.79047,                0.70156,                0.49601,                 1.0522,             0.00058017,             0.00058017,             0.00058017
                     18,                0.70874,                0.50632,                 1.0408,                0.91465,                0.92263,                0.95626,                0.79105,                0.70157,                0.48844,                 1.0466,             0.00052359,             0.00052359,             0.00052359
                     19,                0.70143,                0.49505,                 1.0336,                0.90519,                0.91713,                0.95554,                0.78883,                  0.692,                0.49425,                 1.0449,               0.000467,               0.000467,               0.000467
                     20,                0.67475,                0.47498,                 1.0182,                0.92254,                0.91771,                0.96177,                0.80428,                0.67342,                0.46345,                 1.0291,             0.00041041,             0.00041041,             0.00041041
                     21,                0.66146,                0.45886,                 1.0074,                0.89577,                0.94765,                0.96262,                0.80127,                 0.6762,                0.45829,                 1.0437,             0.00035382,             0.00035382,             0.00035382
                     22,                0.64557,                0.44722,                0.99793,                0.89923,                0.94058,                0.96403,                0.80533,                0.67648,                0.44994,                 1.0406,             0.00029723,             0.00029723,             0.00029723
                     23,                0.62675,                0.42633,                0.99162,                0.90215,                0.93853,                0.96192,                0.81086,                0.66048,                0.44301,                 1.0318,             0.00024064,             0.00024064,             0.00024064
                     24,                0.61219,                0.40627,                0.98034,                0.93077,                0.93177,                0.96609,                0.82151,                0.64759,                 0.4219,                 1.0176,             0.00018406,             0.00018406,             0.00018406
                     25,                0.59894,                0.39789,                0.97083,                0.92935,                0.93579,                0.96828,                0.82654,                0.63316,                0.40761,                 1.0132,             0.00012747,             0.00012747,             0.00012747
