                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4382,                 2.9884,                0.24772,                  1.944,                 1.4895,                 0.9916,                      1,                  0.995,                0.74738,                 0.9916,                      1,                  0.995,                0.49336,                0.79124,                 1.3695,                0.03858,                 1.4535,                 1.0036,             0.00051677,             0.00051677,             0.00051677
                      2,                0.85695,                 2.4018,                0.19109,                 1.0202,                 1.0059,                0.99726,                      1,                  0.995,                0.90152,                0.99726,                      1,                  0.995,                0.58099,                0.49924,                 1.4723,                 0.0355,                0.85599,                0.93333,              0.0010398,              0.0010398,              0.0010398
                      3,                0.85703,                 2.5808,                0.18447,                0.86751,                 1.0091,                0.99819,                      1,                  0.995,                0.83598,                0.99819,                      1,                  0.995,                0.81857,                0.63495,                 0.7669,                 0.0276,                0.65828,                0.98861,              0.0015523,              0.0015523,              0.0015523
                      4,                0.79141,                 2.3788,                0.15288,                0.75014,                0.99485,                0.99818,                      1,                  0.995,                 0.9146,                0.99818,                      1,                  0.995,                0.56948,                 0.5184,                 1.4394,                0.03254,                0.63443,                0.92348,              0.0016175,              0.0016175,              0.0016175
                      5,                0.74118,                 2.2658,                0.15069,                0.67771,                0.96759,                0.99784,                      1,                  0.995,                0.88363,                0.99784,                      1,                  0.995,                0.78315,                 0.5224,                0.77636,                0.01827,                0.67826,                0.97444,              0.0016175,              0.0016175,              0.0016175
                      6,                0.69618,                 2.0196,                0.13269,                  0.592,                0.95756,                0.99827,                      1,                  0.995,                0.86521,                0.99827,                      1,                  0.995,                0.64717,                0.56638,                 1.3209,                0.03179,                0.51297,                0.97319,               0.001601,               0.001601,               0.001601
                      7,                0.70167,                 2.0589,                0.13113,                 0.5891,                0.95521,                  0.998,                      1,                  0.995,                0.92091,                  0.998,                      1,                  0.995,                0.83223,                0.44183,                 0.9083,                0.02025,                0.44521,                 0.8825,              0.0015845,              0.0015845,              0.0015845
                      8,                0.72343,                 2.0665,                0.14135,                0.57874,                0.96022,                0.99826,                      1,                  0.995,                0.91383,                0.99826,                      1,                  0.995,                0.91053,                0.43773,                0.65796,                0.01228,                 0.4066,                0.89001,               0.001568,               0.001568,               0.001568
                      9,                0.65709,                  1.883,                0.12605,                0.52686,                0.94873,                0.99793,                      1,                  0.995,                0.92432,                0.99793,                      1,                  0.995,                 0.8767,                0.41069,                0.59814,                0.02256,                0.46828,                0.87867,              0.0015515,              0.0015515,              0.0015515
                     10,                0.67414,                  2.029,                0.13398,                0.54117,                0.94915,                0.99806,                      1,                  0.995,                0.89754,                0.99806,                      1,                  0.995,                0.82022,                0.48738,                 1.0214,                0.01322,                0.44267,                0.91625,               0.001535,               0.001535,               0.001535
                     11,                0.64952,                 1.8712,                0.12738,                0.51889,                0.94254,                0.99822,                      1,                  0.995,                0.84274,                0.99822,                      1,                  0.995,                0.60495,                0.47271,                 1.1166,                0.01397,                0.44884,                0.89351,              0.0015185,              0.0015185,              0.0015185
